"src","dest","reason","size","lastWrite"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\kb_seed_01\kb_test_1.txt","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\sorted\VB\Tech\Templates\kb_seed_01\kb_test_1.txt","KB -> Templates","33","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\kb_seed_01\kb_test_2.txt","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\sorted\VB\Tech\Templates\kb_seed_01\kb_test_2.txt","KB -> Templates","33","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\kb_seed_01\Navi_Complete_Personal_Identity.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\sorted\VB\Tech\Templates\kb_seed_01\Navi_Complete_Personal_Identity.md","KB -> Templates","15985","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\kb_seed_01\Navi_KB_00_Master_Index.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\sorted\VB\Tech\Templates\kb_seed_01\Navi_KB_00_Master_Index.md","KB -> Templates","10142","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\kb_seed_01\Navi_KB_01_Communication_Style.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\sorted\VB\Tech\Templates\kb_seed_01\Navi_KB_01_Communication_Style.md","KB -> Templates","9439","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\kb_seed_01\Navi_KB_02_Formatting_Rules.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\sorted\VB\Tech\Templates\kb_seed_01\Navi_KB_02_Formatting_Rules.md","KB -> Templates","11395","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\kb_seed_01\Navi_KB_03_Tool_Protocols.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\sorted\VB\Tech\Templates\kb_seed_01\Navi_KB_03_Tool_Protocols.md","KB -> Templates","13843","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\kb_seed_01\Navi_KB_04_User_Preferences.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\sorted\VB\Tech\Templates\kb_seed_01\Navi_KB_04_User_Preferences.md","KB -> Templates","12401","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\kb_seed_01\Navi_KB_05_Templates_and_Routing.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\sorted\VB\Tech\Templates\kb_seed_01\Navi_KB_05_Templates_and_Routing.md","KB -> Templates","13711","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\kb_seed_01\README_Installation_Guide.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\sorted\VB\Tech\Templates\kb_seed_01\README_Installation_Guide.md","KB -> Templates","10582","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\kb_seed_01\urgent_ceo_meeting.txt","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\sorted\VB\Tech\Templates\kb_seed_01\urgent_ceo_meeting.txt","KB -> Templates","200","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\kb_seed_01\We are in  Production.txt","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\sorted\VB\Tech\Templates\kb_seed_01\We are in  Production.txt","KB -> Templates","49","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\mock_test_batch_01_final_2\Navi_Complete_Personal_Identity.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING_REVIEW\mock_test_batch_01_final_2\Navi_Complete_Personal_Identity.md","Other -> HOLDING_REVIEW (manual)","15985","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\mock_test_batch_01_final_2\Navi_KB_00_Master_Index.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\sorted\VB\Tech\Templates\mock_test_batch_01_final_2\Navi_KB_00_Master_Index.md","KB -> Templates","10142","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\mock_test_batch_01_final_2\Navi_KB_01_Communication_Style.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\sorted\VB\Tech\Templates\mock_test_batch_01_final_2\Navi_KB_01_Communication_Style.md","KB -> Templates","9439","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\mock_test_batch_01_final_2\Navi_KB_02_Formatting_Rules.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\sorted\VB\Tech\Templates\mock_test_batch_01_final_2\Navi_KB_02_Formatting_Rules.md","KB -> Templates","11395","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\mock_test_batch_01_final_2\Navi_KB_03_Tool_Protocols.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\sorted\VB\Tech\Templates\mock_test_batch_01_final_2\Navi_KB_03_Tool_Protocols.md","KB -> Templates","13843","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\mock_test_batch_01_final_2\Navi_KB_04_User_Preferences.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\sorted\VB\Tech\Templates\mock_test_batch_01_final_2\Navi_KB_04_User_Preferences.md","KB -> Templates","12401","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\mock_test_batch_01_final_2\Navi_KB_05_Templates_and_Routing.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\sorted\VB\Tech\Templates\mock_test_batch_01_final_2\Navi_KB_05_Templates_and_Routing.md","KB -> Templates","13711","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\mock_test_batch_01_final_2\README_Installation_Guide.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING_REVIEW\mock_test_batch_01_final_2\README_Installation_Guide.md","Other -> HOLDING_REVIEW (manual)","10582","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\mock_test_batch_01_final_2\urgent_ceo_meeting.txt","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\mail_room\review_required\urgent_ceo_meeting.txt","Urgent/Bill -> mail_room/review_required","200","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\mock_test_batch_01_final_2\We are in  Production.txt","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING_REVIEW\mock_test_batch_01_final_2\We are in  Production.txt","Other -> HOLDING_REVIEW (manual)","49","12/21/2025 6:15:55 PM"
